independent,regression,score,metric,aic
Year,Linear,0.2464271781070505,Adj R²,1105.4727541317582
address + Year,Poly OLS (deg 2),0.24640439234684663,Adj R²,1109.299129875651
address + bathrooms + Area,Poly OLS (deg 2),0.24585738226476028,Adj R²,1112.9994764551395
address + bathrooms + Area,Poly Lasso (deg 2),0.24582950515523028,Adj R²,1113.0029880939146
address + Year + property_type,Linear,0.24567380607330502,Adj R²,1107.5023826456443
style + bedrooms + Area,Poly Ridge (deg 2),0.2444748076426987,Adj R²,1113.1734811268136
address + style + Year,Linear,0.2442082406278221,Adj R²,1107.6867771967165
address + neighbourhood + Year,Linear,0.24290974017348987,Adj R²,1107.8498534602818
Year,Poly Lasso (deg 2),0.24045396756355042,Adj R²,1107.195767830143
neighbourhood + bedrooms + bathrooms,Poly OLS (deg 2),0.24020959643200301,Adj R²,1113.708282109783
neighbourhood + bedrooms + bathrooms,Poly Lasso (deg 2),0.2401529407061025,Adj R²,1113.7153657650556
Year + property_type,Linear,0.2400241200194293,Adj R²,1107.2495156799725
style + Year,Linear,0.2396706414732913,Adj R²,1107.2936916278518
neighbourhood + bedrooms + Area,Poly OLS (deg 2),0.2387028924897876,Adj R²,1113.8964855106817
neighbourhood + bedrooms + Area,Poly Lasso (deg 2),0.2386613806975778,Adj R²,1113.901665502444
neighbourhood + Year,Linear,0.23850488082284327,Adj R²,1107.4392370374271
Year,Poly Ridge (deg 2),0.237905148516256,Adj R²,1107.514026939127
bathrooms + Area + property_type,Poly Ridge (deg 2),0.23790369479348483,Adj R²,1113.9961627017215
bathrooms + Area + property_type,Linear,0.23696335239219013,Adj R²,1108.5930936698712
neighbourhood + bedrooms + Area,Poly Ridge (deg 2),0.23646506693205538,Adj R²,1114.175327474854
neighbourhood + Year,Poly OLS (deg 2),0.23590678367249507,Adj R²,1110.6133501727531
address + Year,Poly Lasso (deg 2),0.235349757554283,Adj R²,1110.6825802103613
bedrooms + bathrooms + property_type,Linear,0.23495316649153408,Adj R²,1108.8430378294418
bedrooms + bathrooms + Area,Poly Ridge (deg 2),0.23451399495125946,Adj R²,1114.4177727339795
address + bathrooms + Area,Poly Ridge (deg 2),0.23441232756531083,Adj R²,1114.4303892420176
style + Year + property_type,Linear,0.2342124734786204,Adj R²,1108.934969188647
bedrooms + bathrooms + Area,Linear,0.23226800210575227,Adj R²,1109.175885429334
neighbourhood + Year + property_type,Linear,0.23205486749718485,Adj R²,1109.2022552795363
neighbourhood + style + Year,Linear,0.23152811411496999,Adj R²,1109.267395892628
bedrooms + Area + property_type,Linear,0.23032011448913492,Adj R²,1109.416613921931
address + Year,Poly Ridge (deg 2),0.22845816575152456,Adj R²,1111.5349548884042
style + bedrooms + bathrooms,Poly OLS (deg 2),0.22808796156473576,Adj R²,1115.2119414653635
style + bedrooms + bathrooms,Poly Lasso (deg 2),0.22802264241462034,Adj R²,1115.2199800195249
bedrooms + bathrooms,Linear,0.22694676646467105,Adj R²,1108.870331243574
neighbourhood + bedrooms + bathrooms,Poly Ridge (deg 2),0.22628095889161592,Adj R²,1115.4340712276712
neighbourhood + bedrooms + bathrooms,Linear,0.22562323998333156,Adj R²,1109.9945777623363
style + bathrooms,Poly OLS (deg 2),0.22483710685043456,Adj R²,1111.979773111296
